experiment_id,num_partitions,training_time,accuracy
PO4,4,79.5912811756134,0.7362212521203041
PO8,8,82.45725297927856,0.7346886058946607
PO16,16,85.81318807601929,0.7327254410663084
PO32,32,93.18773651123047,0.7342494769198977
