experiment_id,num_executors,num_trees,training_time,accuracy
WS1,1,25,47.668911933898926,0.7338586330749798
WS2,2,50,60.98638296127319,0.7337745608523896
WS4,4,100,86.36919093132019,0.7327254410663084
