experiment_id,num_executors,num_trees,max_depth,training_time,prediction_time,total_time,accuracy,train_samples,test_samples
B1,1,50,10,111.40906977653503,4.0833680629730225,115.49243783950806,0.7362271456227145,464787,116225
B2,1,100,10,274.4073703289032,6.6676270961761475,281.07499742507935,0.7314691331469133,464787,116225
B3,1,200,10,653.719247341156,14.560969829559326,668.2802171707153,0.7367433856743386,464787,116225
